"No.","Time","Source","Destination","Protocol","Length","Info"
"61","14.860254","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=0/0, ttl=64 (reply in 62)"
"62","14.869199","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=0/0, ttl=56 (request in 61)"
"63","15.861352","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=1/256, ttl=64 (reply in 64)"
"64","15.870426","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=1/256, ttl=56 (request in 63)"
"65","16.866570","10.2a0.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=2/512, ttl=64 (reply in 66)"
"66","16.875320","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=2/512, ttl=56 (request in 65)"
"67","17.871793","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=3/768, ttl=64 (reply in 68)"
"68","17.882639","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=3/768, ttl=56 (request in 67)"
"74","18.877027","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=4/1024, ttl=64 (reply in 75)"
"75","18.886943","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=4/1024, ttl=56 (request in 74)"
"79","19.882247","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=5/1280, ttl=64 (reply in 80)"
"80","19.892811","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=5/1280, ttl=56 (request in 79)"
"82","20.887247","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=6/1536, ttl=64 (reply in 83)"
"83","20.896400","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=6/1536, ttl=56 (request in 82)"
"85","21.887484","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=7/1792, ttl=64 (reply in 86)"
"86","21.896227","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=7/1792, ttl=56 (request in 85)"
