"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.20.0.21","255.255.255.255","DB-LSP-DISC","248","Dropbox LAN sync Discovery Protocol"
"2","0.000957","10.20.0.21","10.20.7.255","DB-LSP-DISC","248","Dropbox LAN sync Discovery Protocol"
"3","0.147157","10.20.0.21","216.58.212.174","UDP","1392","51355  >  443 Len=1350"
"4","0.147209","10.20.0.21","216.58.212.174","UDP","1392","51355  >  443 Len=1350"
"5","0.147216","10.20.0.21","216.58.212.174","UDP","1392","51355  >  443 Len=1350"
"6","0.147234","10.20.0.21","216.58.212.174","UDP","1392","51355  >  443 Len=1350"
"7","0.147271","10.20.0.21","216.58.212.174","UDP","676","51355  >  443 Len=634"
"8","0.147994","10.20.0.21","172.217.18.110","UDP","1392","50156  >  443 Len=1350"
"9","0.148032","10.20.0.21","172.217.18.110","UDP","1392","50156  >  443 Len=1350"
"10","0.148068","10.20.0.21","172.217.18.110","UDP","1392","50156  >  443 Len=1350"
"11","0.148100","10.20.0.21","172.217.18.110","UDP","1392","50156  >  443 Len=1350"
"12","0.148131","10.20.0.21","172.217.18.110","UDP","1392","50156  >  443 Len=1350"
"13","0.148215","10.20.0.21","172.217.18.110","UDP","1199","50156  >  443 Len=1157"
"14","0.157061","216.58.212.174","10.20.0.21","UDP","67","443  >  51355 Len=25"
"15","0.157067","216.58.212.174","10.20.0.21","UDP","67","443  >  51355 Len=25"
"16","0.158398","172.217.18.110","10.20.0.21","UDP","68","443  >  50156 Len=26"
"17","0.168278","216.58.212.174","10.20.0.21","UDP","395","443  >  51355 Len=353"
"18","0.168286","216.58.212.174","10.20.0.21","UDP","317","443  >  51355 Len=275"
"19","0.168814","10.20.0.21","216.58.212.174","UDP","75","51355  >  443 Len=33"
"20","0.313229","172.217.18.110","10.20.0.21","UDP","597","443  >  50156 Len=555"
"21","0.315993","10.20.0.21","172.217.18.110","UDP","75","50156  >  443 Len=33"
"22","0.321737","172.217.18.110","10.20.0.21","UDP","70","443  >  50156 Len=28"
"23","0.324314","10.20.0.21","172.217.18.110","UDP","75","50156  >  443 Len=33"
"25","1.392998","10.20.0.21","66.102.1.188","TCP","54","49532  >  5228 [ACK] Seq=1 Ack=1 Win=2048 Len=0"
"26","1.411253","66.102.1.188","10.20.0.21","TCP","66","[TCP ACKed unseen segment] 5228  >  49532 [ACK] Seq=1 Ack=2 Win=289 Len=0 TSval=4222640972 TSecr=265093762"
"27","1.893100","10.20.0.21","195.20.250.190","TCP","54","49614  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"28","1.901159","195.20.250.190","10.20.0.21","TCP","60","[TCP ACKed unseen segment] 443  >  49614 [ACK] Seq=1 Ack=2 Win=6181 Len=0"
"29","2.394284","10.20.0.21","195.20.250.190","TCP","54","49613  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"30","2.403012","195.20.250.190","10.20.0.21","TCP","60","[TCP ACKed unseen segment] 443  >  49613 [ACK] Seq=1 Ack=2 Win=5868 Len=0"
"31","3.148656","10.20.0.21","216.58.212.174","UDP","1392","51355  >  443 Len=1350"
"32","3.149284","10.20.0.21","216.58.212.174","UDP","1392","51355  >  443 Len=1350"
"33","3.149285","10.20.0.21","216.58.212.174","UDP","1392","51355  >  443 Len=1350"
"34","3.149286","10.20.0.21","216.58.212.174","UDP","1392","51355  >  443 Len=1350"
"35","3.149286","10.20.0.21","216.58.212.174","UDP","1392","51355  >  443 Len=1350"
"36","3.149286","10.20.0.21","216.58.212.174","UDP","1392","51355  >  443 Len=1350"
"37","3.149287","10.20.0.21","216.58.212.174","UDP","434","51355  >  443 Len=392"
"38","3.150516","10.20.0.21","172.217.18.110","UDP","1392","50156  >  443 Len=1350"
"39","3.150560","10.20.0.21","172.217.18.110","UDP","1392","50156  >  443 Len=1350"
"40","3.150566","10.20.0.21","172.217.18.110","UDP","1392","50156  >  443 Len=1350"
"41","3.150583","10.20.0.21","172.217.18.110","UDP","1392","50156  >  443 Len=1350"
"42","3.150594","10.20.0.21","172.217.18.110","UDP","1392","50156  >  443 Len=1350"
"43","3.150608","10.20.0.21","172.217.18.110","UDP","1392","50156  >  443 Len=1350"
"44","3.150620","10.20.0.21","172.217.18.110","UDP","1392","50156  >  443 Len=1350"
"45","3.150633","10.20.0.21","172.217.18.110","UDP","1392","50156  >  443 Len=1350"
"46","3.150646","10.20.0.21","172.217.18.110","UDP","1392","50156  >  443 Len=1350"
"47","3.150660","10.20.0.21","172.217.18.110","UDP","315","50156  >  443 Len=273"
"49","3.158241","216.58.212.174","10.20.0.21","UDP","67","443  >  51355 Len=25"
"50","3.161255","216.58.212.174","10.20.0.21","UDP","67","443  >  51355 Len=25"
"51","3.161991","172.217.18.110","10.20.0.21","UDP","68","443  >  50156 Len=26"
"52","3.173185","216.58.212.174","10.20.0.21","UDP","396","443  >  51355 Len=354"
"53","3.173188","216.58.212.174","10.20.0.21","UDP","164","443  >  51355 Len=122"
"54","3.173660","10.20.0.21","216.58.212.174","UDP","75","51355  >  443 Len=33"
"55","3.324793","172.217.18.110","10.20.0.21","UDP","392","443  >  50156 Len=350"
"56","3.327423","10.20.0.21","172.217.18.110","UDP","75","50156  >  443 Len=33"
"57","3.334413","172.217.18.110","10.20.0.21","UDP","70","443  >  50156 Len=28"
"58","3.336932","10.20.0.21","172.217.18.110","UDP","75","50156  >  443 Len=33"
"59","14.847633","10.20.0.21","141.70.82.10","DNS","86","Standard query 0x7173 A e16248.dscb.akamaiedge.net"
"60","14.859668","141.70.82.10","10.20.0.21","DNS","102","Standard query response 0x7173 A e16248.dscb.akamaiedge.net A 184.31.86.64"
"61","14.860254","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=0/0, ttl=64 (reply in 62)"
"62","14.869199","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=0/0, ttl=56 (request in 61)"
"63","15.861352","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=1/256, ttl=64 (reply in 64)"
"64","15.870426","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=1/256, ttl=56 (request in 63)"
"65","16.866570","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=2/512, ttl=64 (reply in 66)"
"66","16.875320","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=2/512, ttl=56 (request in 65)"
"67","17.871793","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=3/768, ttl=64 (reply in 68)"
"68","17.882639","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=3/768, ttl=56 (request in 67)"
"69","18.150426","10.20.0.21","216.58.212.174","UDP","75","51355  >  443 Len=33"
"70","18.151330","10.20.0.21","172.217.18.110","UDP","75","50156  >  443 Len=33"
"71","18.162271","172.217.18.110","10.20.0.21","UDP","68","443  >  50156 Len=26"
"72","18.185226","216.58.212.174","10.20.0.21","UDP","67","443  >  51355 Len=25"
"73","18.404455","10.20.0.21","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"74","18.877027","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=4/1024, ttl=64 (reply in 75)"
"75","18.886943","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=4/1024, ttl=56 (request in 74)"
"76","19.230670","172.217.18.110","10.20.0.21","UDP","87","443  >  50156 Len=45"
"77","19.233466","10.20.0.21","172.217.18.110","UDP","75","50156  >  443 Len=33"
"78","19.405410","10.20.0.21","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"79","19.882247","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=5/1280, ttl=64 (reply in 80)"
"80","19.892811","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=5/1280, ttl=56 (request in 79)"
"81","20.406625","10.20.0.21","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"82","20.887247","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=6/1536, ttl=64 (reply in 83)"
